   2.1233e+02  , 1.7408e+01
   1.7331e+02  , 1.5533e+01
   1.3119e+02  , 1.3639e+01
   1.0393e+02  , 1.1672e+01
   81.4352 ,  9.5156
   57.1813 ,  7.5154
   37.2147 ,  6.2508
   27.0128 ,  5.7683
   23.3626 ,  5.6930
   21.6515 ,  5.7823
   21.6456 ,  5.8397
   22.4355 ,  5.6373
   21.6016 ,  5.3119
   19.6434 ,  5.1285
   18.3671 ,  4.9557
   17.1924 ,  4.6289
   15.1706 ,  4.2660
   13.1474 ,  4.0317
   11.9062 ,  3.8887
   11.1007 ,  3.7604
   10.4037 ,  3.6592
   9.8964   ,3.5764
   9.4673   ,3.4561
   8.8965   ,3.3156
   8.2875   ,3.2193
   7.8156   ,3.1461
   7.4058   ,3.0668
   6.9715   ,2.9919
   6.5870   ,2.9319
   6.2801   ,2.8778
   5.9929   ,2.8336
   5.7307   ,2.7967
   5.5086   ,2.7517
   5.2895   ,2.6988
   5.0720   ,2.6520
   4.8829   ,2.6118
   4.7123   ,2.5748
   4.5505   ,2.5429
   4.4061   ,2.5141
   4.2746   ,2.4846
   4.1510   ,2.4573
   4.0407   ,2.4331
   3.9398   ,2.4103
   3.8425   ,2.3883
   3.7511   ,2.3657
   3.6654   ,2.3418
   3.5843   ,2.3188
   3.5098   ,2.2983
   3.4409   ,2.2803
   3.3756   ,2.2642
   3.3146   ,2.2484
   3.2572   ,2.2327
   3.2028   ,2.2177
   3.1518   ,2.2040
   3.1036   ,2.1912
   3.0576   ,2.1789
   3.0142   ,2.1665
   2.9728   ,2.1542
   2.9335   ,2.1425
   2.8962   ,2.1316
   2.8604   ,2.1214
   2.8262   ,2.1116
   2.7934   ,2.1018
   2.7620   ,2.0922
   2.7318   ,2.0829
   2.7029   ,2.0740
   2.6750   ,2.0652
   2.6482   ,2.0565
   2.6223   ,2.0479
   2.5974   ,2.0396
   2.5734   ,2.0315
   2.5502   ,2.0238
   2.5277   ,2.0162
   2.5060   ,2.0087
   2.4850   ,2.0014
   2.4646   ,1.9942
   2.4449   ,1.9872
   2.4257   ,1.9803
   2.4071   ,1.9734
   2.3891   ,1.9667
   2.3715   ,1.9601
   2.3545   ,1.9536
   2.3379   ,1.9473
   2.3217   ,1.9411
   2.3060   ,1.9350
   2.2907   ,1.9290
   2.2759   ,1.9231
   2.2613   ,1.9174
   2.2472   ,1.9118
   2.2334   ,1.9062
   2.2199   ,1.9008
   2.2068   ,1.8955
   2.1940   ,1.8902
   2.1815   ,1.8851
   2.1692   ,1.8800
   2.1573   ,1.8750
   2.1456   ,1.8701
   2.1342   ,1.8653
   2.1231   ,1.8605
   2.1122   ,1.8558
   2.1015   ,1.8512
   2.0910   ,1.8467
